社員番号,フォロワー数,いいね数
2286600,17,7
2286501,23,2
2286402,16,15
2286303,19,31
2286105,28,83
2286006,24,164
2285900,68,10
2285801,26,67
2285702,21,0
2285603,27,0
2285504,19,35
2285405,13,5
2285306,20,3
2285207,28,71
2285108,21,48
2285009,23,86
2284903,6,0
2284804,21,0
2284705,40,5
2284606,15,0
2284507,30,23
2284309,26,76
2284200,17,107
2284101,12,15
2284002,7,0
2283906,10,34
2283807,13,5
2283708,14,72
2283609,32,60
2283500,19,3
2283302,12,69
2283203,12,89
2283104,41,148
2283005,29,112
2282909,20,11
2282800,26,14
2282602,26,87
2282503,11,8
2282404,11,68
2282305,19,58
2282206,17,0
2282107,15,56
2282008,25,18
2281902,39,97
2281605,20,16
2281407,29,2
2281308,16,67
2281209,31,54
2281100,28,98
2280905,22,82
2280806,19,10
2280707,30,91
2280608,12,1
2280509,13,51
2280400,25,57
2280301,37,71
2280202,8,36
2280103,26,60
2280004,14,0
2279909,31,17
2279800,34,84
2279701,40,55
2279602,41,89
2279503,34,62
2279404,41,141
2279206,27,54
2279107,21,13
2279008,16,56
2278803,26,86
2278704,40,101
2278605,26,54
2278506,36,104
2278407,44,74
2278308,35,85
2278209,42,1
2278100,34,19
2278001,16,43
2277905,23,7
2277707,22,50
2277608,16,19
2277400,59,173
2277202,48,52
2277103,20,19
2277004,17,116
2276908,21,50
2276809,16,65
2276601,10,0
2276502,14,0
2276403,100,69
2276304,33,75
2276205,22,68
2276106,15,69
2276007,18,107
2275901,14,55
2275802,23,31
2275703,13,104
2275604,15,12
2275505,30,42
2275406,38,5
2275307,52,116
2275208,41,69
2275109,50,114
2274904,15,36
2274805,21,13
2274706,39,87
2274607,31,110
2274508,92,527
2274409,32,11
2274300,18,31
2274201,17,134
2274102,10,77
2274003,23,22
2273709,16,160
2273600,26,39
2273501,48,193
2273402,17,23
2273303,81,346
2273204,30,67
2273105,22,9
2273006,15,0
2272900,14,76
2272702,13,71
2272603,22,120
2272504,41,47
2272405,15,26
2272207,31,112
2272009,24,110
2271903,23,0
2271804,31,6
2271705,14,17
2271606,36,101
2271507,24,8
2271408,28,59
2271200,35,104
2271101,132,89
2271002,13,15
2270906,18,8
2270807,44,102
2270708,22,61
2270609,41,27
2270500,29,132
2270401,25,71
2270302,57,150
2270203,34,74
2270104,65,121
2270005,21,73
2269900,22,58
2269801,24,112
2269702,18,18
2269504,13,0
2269405,23,9
2269306,20,0
2269108,19,103
2269009,6,19
2268903,17,61
2268804,32,91
2268705,30,72
2268606,22,84
2268507,26,143
2268408,13,57
2268309,9,54
2268200,29,193
2268101,19,29
2268002,13,19
2267609,19,6
2267401,30,79
2267302,33,65
2267203,30,68
2267104,15,66
2267005,78,239
2266909,21,7
2266503,7,8
2266404,36,72
2266008,15,82
2265902,23,21
2265803,16,26
2265704,16,74
2265605,17,79
2265506,24,85
2265407,38,165
2265308,11,57
2265100,38,91
2265001,34,137
2264905,32,24
2264806,16,56
2264707,23,107
2264509,19,28
2264301,48,278
2264202,27,136
2264103,21,43
2263908,21,89
2263809,56,262
2263700,64,163
2263601,35,73
2263502,27,20
2263403,45,106
2263304,34,111
2263205,19,13
2263106,44,16
2263007,13,17
2262901,12,38
2262802,53,129
2262703,42,96
2262604,16,106
2262505,36,98
2262406,20,91
2262307,32,96
2262208,24,64
2262109,9,91
2262000,40,198
2261904,20,24
2261706,19,13
2261607,48,80
2261508,44,434
2261409,28,16
2261300,33,9
2261201,35,58
2261102,10,6
2261003,18,50
2260907,9,6
2260808,18,48
2260709,103,885
2260600,19,16
2260303,19,7
2260204,31,13
2260105,52,68
2259703,44,68
2259604,26,112
2259505,31,60
2259406,10,0
2259307,21,13
2259208,16,0
2259109,21,9
2259000,18,21
2258904,25,87
2258805,43,140
2258706,48,516
2258607,23,81
2258508,77,1018
2258409,54,85
2258300,47,123
2258201,30,105
2258102,36,110
2257907,32,85
2257808,34,156
2257709,52,30
2257600,32,121
2257303,25,8
2257204,31,112
2257105,51,107
2257006,39,12
2256900,16,10
2256801,45,66
2256603,27,71
2256504,48,424
2256405,19,79
2256306,54,83
2256207,49,289
2256108,56,359
2256009,27,78
2255903,31,34
2255804,34,22
2255705,24,67
2255606,21,61
2255408,52,134
2255309,37,15
2255200,22,14
2255101,40,108
2255002,25,9
2254906,19,31
2254708,32,80
2254609,25,94
2254500,34,79
2254401,45,257
2254302,45,145
2254203,26,83
2254104,15,5
2253701,20,110
2253602,8,115
2253503,27,94
2253404,26,52
2253305,38,160
2253206,14,7
2253107,40,124
2253008,84,148
2252902,30,10
2252803,66,741
2252704,33,80
2252605,23,126
2252506,19,168
2252407,22,41
2252308,38,78
2252209,34,81
2252100,59,166
2252001,55,86
2251806,18,5
2251608,38,84
2251004,15,59
2250908,17,22
2250809,36,0
2250700,48,1126
2250601,28,588
2250502,29,22
2250403,35,81
2250304,37,19
2250205,44,402
2249902,38,0
2249803,14,16
2249407,23,13
2249209,29,138
2249100,26,114
2249001,21,65
2248905,53,88
2248806,25,23
2248707,69,49
2248608,21,71
2248509,22,0
2248400,48,95
2248103,25,220
2247908,20,8
2247809,76,1056
2247700,13,15
2247601,46,113
2247502,18,6
2247304,40,70
2247205,71,321
2247106,63,187
2246901,44,63
2246802,55,250
2246703,47,106
2246604,15,113
2246505,11,9
2246000,34,19
2245904,32,22
2245805,29,17
2245706,38,63
2245607,18,1
2245508,20,1
2245409,34,131
2245300,22,8
2245201,17,16
2245102,14,3
2244907,32,59
2244808,34,75
2244709,7,16
2244600,44,156
2244501,36,268
2244402,27,22
2244303,31,150
2244204,73,192
2244105,54,101
2243900,11,35
2243801,40,334
2243702,10,0
2243504,33,193
2243306,28,20
2243207,33,40
2243108,53,230
2243009,63,196
2242903,62,112
2242804,41,22
2242705,58,248
2242606,31,22
2242408,47,139
2242101,26,12
2241906,73,113
2241708,28,15
2241609,37,91
2241500,49,19
2241203,42,115
2241005,24,0
2240909,26,38
2240800,24,10
2240701,25,196
